scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
cell_phone,2.6184,1.2088,1.4096,6,17,0,67,0.3076,0.1121,0.4616559731133516,31%,0.76,46%,6 (0-67),310,150,76,0,4,0.95,0.6000000000000001,0.6,0.5
cell_phone_met_limit,2.5825,1.4075,1.175,6,15,0,55,0.2686,0.0857,0.5450145208131656,27%,0.64,55%,6 (0-55),270,140,68,0,4,0.95,0.6000000000000001,0.6,0.5
