scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5304,1.4442,1.0862,21,35,1,114,0.2392,0.0803,0.57073980398356,24%,0.47,57%,21 (1-110),630,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5905,1.6032,0.9873,28,43,1,131,0.2162,0.0732,0.6188766647365374,22%,0.41,62%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.5574,1.1272,1.4302,4,14,0,56,0.3182,0.1146,0.44076014702432154,32%,0.61,44%,4 (0-56),250,130,63,0,4,0.95,0.53,0.6,0.5
