scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.6106,1.4445,1.1661,22,36,1,120,0.2559,0.087,0.5533210756148013,26%,0.52,55%,22 (1-120),650,320,160,0,56,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5692,1.4643,1.1049,21,36,1,118,0.2436,0.0828,0.5699439514245679,24%,0.5,57%,21 (1-120),650,320,160,0,56,0.95,0.53,0.6,0.5
cell_phone,2.5795,1.1641,1.4154,4,14,0,55,0.3172,0.1168,0.4512890094979647,32%,0.64,45%,4 (0-55),250,130,63,0,56,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.591,1.1494,1.4416,4,14,0,56,0.3223,0.1189,0.4436125048243922,32%,0.65,44%,4 (0-56),250,130,63,0,56,0.95,0.53,0.6,0.5
