scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.6135,1.8196,0.7939,22,36,1,115,0.1785,0.0506,0.6962311077099674,18%,0.24,70%,22 (1-120),650,320,160,0.7000000000000001,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5867,1.8553,0.7314,28,43,1,133,0.1545,0.0488,0.7172459117794874,15%,0.22,72%,28 (1-130),770,390,190,0.7000000000000001,4,0.95,0.53,0.6,0.5
cell_phone,2.6001,1.6208,0.9793,4,14,0,57,0.2179,0.0682,0.6233606399753855,22%,0.3,62%,4 (0-57),250,130,63,0.7000000000000001,4,0.95,0.53,0.6,0.5
