scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5842,1.467,1.1172,22,35,1,114.049999999999,0.2508,0.0832,0.5676805200835848,25%,0.48,57%,22 (1-110),630,320,160,0,18,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6215,1.5047,1.1168,22,35,1,110,0.2498,0.0787,0.5739843600991799,25%,0.48,57%,22 (1-110),630,320,160,0,18,0.95,0.53,0.6,0.5
cell_phone,2.5878,1.1705,1.4173,4.5,15,0,58,0.3154,0.1173,0.45231470747352964,32%,0.61,45%,4.5 (0-58),270,140,68,0,18,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5984,1.2057,1.3927,5,14,0,55,0.3102,0.1116,0.4640163177339901,31%,0.6,46%,5 (0-55),250,130,63,0,18,0.95,0.53,0.6,0.5
