scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5409,1.7851,0.7558,22,35,1,114,0.1707,0.0462,0.702546341847377,17%,0.22,70%,22 (1-110),630,320,160,0.8,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.6385,1.9738,0.6647,28,43,1,134,0.1415,0.0441,0.7480765586507485,14%,0.19,75%,28 (1-130),770,390,190,0.8,4,0.95,0.53,0.6,0.5
cell_phone,2.6266,1.7385,0.8881,5,15,0,59,0.2021,0.0615,0.6618822812761744,20%,0.26,66%,5 (0-59),270,140,68,0.8,4,0.95,0.53,0.6,0.5
