scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5725,1.4813,1.0912,22,35,1,114,0.2396,0.0821,0.575821185617104,24%,0.46,58%,22 (1-110),630,320,160,0,2,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5623,1.7052,0.8571,15,30,1,101,0.1823,0.0556,0.6654958435780354,18%,0.37,67%,15 (1-100),540,270,140,0,2,0.95,0.53,0.6,0.5
cell_phone,2.5663,1.1364,1.4299,5,14,0,55,0.3137,0.1165,0.44281650625414026,31%,0.61,44%,5 (0-55),250,130,63,0,2,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5765,1.449,1.1275,4,11,0,44,0.2518,0.0798,0.5623908402872113,25%,0.48,56%,4 (0-44),200,99,50,0,2,0.95,0.53,0.6,0.5
