scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5752,1.4586,1.1166,22,35,1,114,0.2427,0.0811,0.5664026095060578,24%,0.48,57%,22 (1-110),630,320,160,0,1,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5984,1.7899,0.8085,14,29,1,103,0.1711,0.0522,0.6888469827586207,17%,0.35,69%,14 (1-100),520,260,130,0,1,0.95,0.53,0.6,0.5
cell_phone,2.6421,1.2022,1.4399,5,15,0,59,0.3223,0.1153,0.4550168426630332,32%,0.61,46%,5 (0-59),270,140,68,0,1,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5891,1.5391,1.05,4,11,0,42,0.2296,0.0761,0.5944536711598625,23%,0.45,59%,4 (0-42),200,99,50,0,1,0.95,0.53,0.6,0.5
