scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.6345,1.4975,1.137,22,36,1,117,0.245,0.0862,0.5684190548491175,24%,0.49,57%,22 (1-120),650,320,160,0,32,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6229,1.5287,1.0942,22,36,1,113,0.2369,0.0788,0.5828281672957414,24%,0.47,58%,22 (1-110),650,320,160,0,32,0.95,0.53,0.6,0.5
cell_phone,2.574,1.131,1.443,4,14,0,57,0.3131,0.1202,0.43939393939393934,31%,0.64,44%,4 (0-57),250,130,63,0,32,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5966,1.1575,1.4391,4,15,0,58,0.3173,0.1181,0.44577524455056616,32%,0.63,45%,4 (0-58),270,140,68,0,32,0.95,0.53,0.6,0.5
