scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5526,1.669,0.8836,22,35,1,114,0.1952,0.0596,0.6538431403275091,20%,0.31,65%,22 (1-110),630,320,160,0.5,32,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6429,1.7608,0.8821,22,36,1,113,0.1959,0.0616,0.6662378447917061,20%,0.29,67%,22 (1-110),650,320,160,0.5,32,0.95,0.53,0.6,0.5
cell_phone,2.6139,1.5011,1.1128,5,15,0,58,0.2477,0.0815,0.5742759860744482,25%,0.38,57%,5 (0-58),270,140,68,0.5,32,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5464,1.4827,1.0637,4,14,0,58,0.2394,0.0775,0.5822730128809299,24%,0.37,58%,4 (0-58),250,130,63,0.5,32,0.95,0.53,0.6,0.5
