scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5593,1.6439,0.9154,22,35,1,112,0.2055,0.0623,0.6423240729887079,21%,0.33,64%,22 (1-110),630,320,160,0.5,10,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6121,1.8028,0.8093,22,34,1,110,0.1825,0.0479,0.6901726580146242,18%,0.28,69%,22 (1-110),610,310,150,0.5,10,0.95,0.53,0.6,0.5
cell_phone,2.5056,1.4704,1.0352,5,14,0,56,0.2271,0.0746,0.586845466155811,23%,0.38,59%,5 (0-56),250,130,63,0.5,10,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5558,1.5497,1.0061,5,14,0,49,0.2339,0.0676,0.6063463494796151,23%,0.36,61%,5 (0-49),250,130,63,0.5,10,0.95,0.53,0.6,0.5
