scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.5859,1.2824,1.3035,11,24,0,86,0.2888,0.1032,0.4959201825283267,29%,0.66,50%,11 (0-86),430,220,110,0,4,0.8,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.5524,1.369,1.1834,18,30,1,96,0.2602,0.088,0.5363579376273311,26%,0.6,54%,18 (1-96),540,270,140,0,4,0.8,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.632,1.6313,1.0007,16,28,1,88,0.2254,0.0633,0.6197948328267477,23%,0.5,62%,16 (1-88),500,250,130,0,4,0.8,0.53,0.6,0.5
isolation_manual_tracing,2.5652,1.4332,1.132,24,37,1,112,0.2446,0.0863,0.5587088726025262,24%,0.58,56%,24 (1-110),670,330,170,0,4,0.8,0.53,0.6,0.5
