scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5762,1.4513,1.1249,21,36,1,113,0.2447,0.0811,0.5633491188572316,24%,0.49,56%,21 (1-110),650,320,160,0,3,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5707,1.6886,0.8821,17,31,1,105,0.1956,0.0595,0.6568638892130548,20%,0.39,66%,17 (1-100),560,280,140,0,3,0.95,0.53,0.6,0.5
cell_phone,2.5588,1.129,1.4298,4,14,0,56,0.3137,0.1162,0.44122244802251065,31%,0.63,44%,4 (0-56),250,130,63,0,3,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5553,1.4095,1.1458,4,12,0,45,0.2484,0.0817,0.551598638124682,25%,0.5,55%,4 (0-45),220,110,54,0,3,0.95,0.53,0.6,0.5
