scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.6273,1.7389,0.8884,22,36,1,118,0.1911,0.0593,0.6618581814029612,19%,0.3,66%,22 (1-120),650,320,160,0.5,3,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5269,1.8643,0.6626,17,30,1,101,0.137,0.0351,0.7377814713680795,14%,0.23,74%,17 (1-100),540,270,140,0.5,3,0.95,0.53,0.6,0.5
cell_phone,2.5582,1.4829,1.0753,4,15,0,56,0.2419,0.0787,0.579665389727152,24%,0.37,58%,4 (0-56),270,140,68,0.5,3,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5191,1.678,0.8411,4,12,0,45,0.1832,0.05,0.6661109126275258,18%,0.3,67%,4 (0-45),220,110,54,0.5,3,0.95,0.53,0.6,0.5
