scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.6043,1.0327,1.5716,3,5.1,0,14,0.3473,0.1329,0.39653649733133656,35%,0.95,40%,3 (0-14),92,46,23,0,4,0.1,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6411,1.0485,1.5926,4,6,0,16,0.3383,0.1348,0.3969936768770588,34%,0.95,40%,4 (0-16),110,54,27,0,4,0.1,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5129,1.2193,1.2936,4,5.4,0,15,0.2952,0.0949,0.48521628397469063,30%,0.81,49%,4 (0-15),97,49,24,0,4,0.1,0.53,0.6,0.5
isolation_manual_tracing,2.6334,1.0624,1.571,5,6.8,0,18,0.3473,0.1311,0.40343282448545603,35%,0.94,40%,5 (0-18),120,61,31,0,4,0.1,0.53,0.6,0.5
