scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.5976,1.2168,1.3808,9,19,0,66,0.3072,0.11,0.46843239913766554,31%,0.73,47%,9 (0-66),340,170,86,0,4,0.6000000000000001,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.5858,1.3011,1.2847,14,23,1,72,0.2897,0.1006,0.5031711655967206,29%,0.69,50%,14 (1-72),410,210,100,0,4,0.6000000000000001,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5785,1.5006,1.0779,12,21,1,68,0.2441,0.0699,0.5819662594531705,24%,0.58,58%,12 (1-68),380,190,94,0,4,0.6000000000000001,0.53,0.6,0.5
isolation_manual_tracing,2.5498,1.3691,1.1807,18,28,1,88,0.2681,0.0938,0.5369440740450231,27%,0.64,54%,18 (1-88),500,250,130,0,4,0.6000000000000001,0.53,0.6,0.5
