scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.5709,1.1731,1.3978,8,16,0,54,0.3111,0.1103,0.4562993504220312,31%,0.76,46%,8 (0-54),290,140,72,0,4,0.5,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.602,1.2263,1.3757,13,20,1,63,0.3039,0.1094,0.47129131437355876,30%,0.74,47%,13 (1-63),360,180,90,0,4,0.5,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5884,1.4599,1.1285,11,18,1,56,0.2597,0.0789,0.5640163807757688,26%,0.61,56%,11 (1-56),320,160,81,0,4,0.5,0.53,0.6,0.5
isolation_manual_tracing,2.5424,1.2688,1.2736,16,23,1,70,0.2853,0.0987,0.49905601006922595,29%,0.7,50%,16 (1-70),410,210,100,0,4,0.5,0.53,0.6,0.5
