scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5696,1.4846,1.085,22,36,1,113,0.2391,0.0768,0.5777552926525529,24%,0.46,58%,22 (1-110),650,320,160,0.1,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5823,1.6323,0.95,28,43,1,132,0.2024,0.0715,0.6321109088796809,20%,0.4,63%,28 (1-130),770,390,190,0.1,4,0.95,0.53,0.6,0.5
cell_phone,2.5878,1.2439,1.3439,5,14,0,57,0.2998,0.1094,0.4806785686683669,30%,0.56,48%,5 (0-57),250,130,63,0.1,4,0.95,0.53,0.6,0.5
