scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5958,1.474,1.1218,21,36,1,118,0.2436,0.0852,0.5678403575005779,24%,0.48,57%,21 (1-120),650,320,160,0,10,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5717,1.521,1.0507,21,34,1,107,0.2345,0.0722,0.5914375704786716,23%,0.46,59%,21 (1-110),610,310,150,0,10,0.95,0.53,0.6,0.5
cell_phone,2.5973,1.1648,1.4325,5,14,0,57,0.3144,0.1165,0.4484657143957186,31%,0.62,45%,5 (0-57),250,130,63,0,10,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5852,1.2346,1.3506,4,14,0,51,0.3057,0.1074,0.4775645984836763,31%,0.59,48%,4 (0-51),250,130,63,0,10,0.95,0.53,0.6,0.5
