scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.6124,1.5589,1.0535,22,36,1,117,0.2302,0.0766,0.5967309753483387,23%,0.42,60%,22 (1-120),650,320,160,0.2,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5637,1.676,0.8877,28,43,1,130,0.1913,0.0621,0.6537426375941022,19%,0.36,65%,28 (1-130),770,390,190,0.2,4,0.95,0.53,0.6,0.5
cell_phone,2.5436,1.2759,1.2677,4,14,0,57,0.2811,0.1036,0.5016118886617393,28%,0.53,50%,4 (0-57),250,130,63,0.2,4,0.95,0.53,0.6,0.5
