scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5769,1.4672,1.1097,22,36,1,112,0.2453,0.0833,0.5693662928324732,25%,0.48,57%,22 (1-110),650,320,160,0,100,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6017,1.4632,1.1385,22,36,1,116,0.2519,0.0872,0.562401506707153,25%,0.49,56%,22 (1-120),650,320,160,0,100,0.95,0.53,0.6,0.5
cell_phone,2.5924,1.1762,1.4162,5,15,0,57,0.3145,0.1168,0.4537108470914982,31%,0.61,45%,5 (0-57),270,140,68,0,100,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.58,1.1392,1.4408,5,14,0,57,0.3121,0.1152,0.44155038759689924,31%,0.62,44%,5 (0-57),250,130,63,0,100,0.95,0.53,0.6,0.5
