scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.4895,1.6689,0.8206,21,35,1,111.049999999999,0.1807,0.0518,0.6703755774251858,18%,0.27,67%,21 (1-110),630,320,160,0.6000000000000001,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5642,1.8466,0.7176,28,43,1,129,0.1564,0.0465,0.7201466344278917,16%,0.23,72%,28 (1-130),770,390,190,0.6000000000000001,4,0.95,0.53,0.6,0.5
cell_phone,2.6015,1.5618,1.0397,5,14,0,58,0.2257,0.0744,0.6003459542571593,23%,0.33,60%,5 (0-58),250,130,63,0.6000000000000001,4,0.95,0.53,0.6,0.5
