scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.543,1.0339,1.5091,4,7.5,0,24,0.3359,0.1302,0.4065670467951239,34%,0.9,41%,4 (0-24),140,68,34,0,4,0.2,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6143,1.0913,1.523,7,9.4,1,27,0.3316,0.1307,0.4174348774050416,33%,0.88,42%,7 (1-27),170,85,42,0,4,0.2,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.4965,1.2712,1.2253,6,8.4,0,25,0.2781,0.0897,0.5091928700180253,28%,0.74,51%,6 (0-25),150,76,38,0,4,0.2,0.53,0.6,0.5
isolation_manual_tracing,2.5689,1.109,1.4599,8,11,1,31,0.3296,0.1191,0.43170228502471875,33%,0.86,43%,8 (1-31),200,99,50,0,4,0.2,0.53,0.6,0.5
