scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.526,1.2844,1.2416,12,25,0,92,0.2826,0.0988,0.5084718923198732,28%,0.61,51%,12 (0-92),450,230,110,0,4,0.9,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6243,1.4492,1.1751,21,34,1,111,0.2577,0.0882,0.5522234500628739,26%,0.56,55%,21 (1-110),610,310,150,0,4,0.9,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5724,1.644,0.9284,17,31,1,100,0.2074,0.0595,0.6390918986160783,21%,0.45,64%,17 (1-100),560,280,140,0,4,0.9,0.53,0.6,0.5
isolation_manual_tracing,2.5357,1.5432,0.9925,26,40,1,126,0.2188,0.073,0.6085893441653192,22%,0.49,61%,26 (1-130),720,360,180,0,4,0.9,0.53,0.6,0.5
