scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
cell_phone,2.5453,1.5955,0.9498,29,45,1,138,0.208,0.073,0.6268416296703729,21%,0.35,63%,29 (1-140),810,400,200,0,4,0.95,1,0.6,0.5
cell_phone_met_limit,2.5896,1.7643,0.8253,24,37,1,113,0.1779,0.0581,0.6813021316033364,18%,0.3,68%,24 (1-110),670,330,170,0,4,0.95,1,0.6,0.5
