scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5428,1.6629,0.8799,22,35,1,112,0.193,0.0582,0.6539641340254838,19%,0.3,65%,22 (1-110),630,320,160,0.5,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.6363,1.8754,0.7609,28,44,1,134,0.1674,0.0507,0.7113757918294579,17%,0.25,71%,28 (1-130),790,400,200,0.5,4,0.95,0.53,0.6,0.5
cell_phone,2.6266,1.4951,1.1315,5,15,0,57.0499999999993,0.2501,0.0818,0.5692149546942815,25%,0.38,57%,5 (0-57),270,140,68,0.5,4,0.95,0.53,0.6,0.5
