scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5919,1.6804,0.9115,22,36,1,115.049999999999,0.2041,0.0618,0.64832748177013,20%,0.32,65%,22 (1-120),650,320,160,0.5,2,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6024,1.9823,0.6201,15,31,1,103,0.1246,0.0323,0.7617199508146326,12%,0.22,76%,15 (1-100),560,280,140,0.5,2,0.95,0.53,0.6,0.5
cell_phone,2.5554,1.4727,1.0827,5,15,0,58.0499999999993,0.2384,0.0789,0.5763089927212961,24%,0.39,58%,5 (0-58),270,140,68,0.5,2,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.589,1.7948,0.7942,4,11,0,45,0.1691,0.0502,0.6932406334492082,17%,0.28,69%,4 (0-45),200,99,50,0.5,2,0.95,0.53,0.6,0.5
