scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.5886,1.2486,1.34,10,21,0,75,0.306,0.1087,0.4823456694738468,31%,0.69,48%,10 (0-75),380,190,94,0,4,0.7000000000000001,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.5825,1.348,1.2345,17,27,1,84,0.2739,0.0953,0.5219748305905131,27%,0.64,52%,17 (1-84),490,240,120,0,4,0.7000000000000001,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5878,1.5631,1.0247,14,24,1,79,0.2332,0.0684,0.6040265862895124,23%,0.53,60%,14 (1-79),430,220,110,0,4,0.7000000000000001,0.53,0.6,0.5
isolation_manual_tracing,2.5841,1.407,1.1771,21,32,1,99,0.2607,0.0913,0.5444835726171587,26%,0.61,54%,21 (1-99),580,290,140,0,4,0.7000000000000001,0.53,0.6,0.5
