scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.5474,1.6605,0.8869,21,35,1,112,0.1955,0.0621,0.6518410928790139,20%,0.31,65%,21 (1-110),630,320,160,0.5,1,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6034,2.0382,0.5652,15,29,1,99,0.1166,0.0296,0.7828992855496658,12%,0.19,78%,15 (1-99),520,260,130,0.5,1,0.95,0.53,0.6,0.5
cell_phone,2.5642,1.4858,1.0784,4,14,0,55.0499999999993,0.2408,0.0777,0.5794399812807114,24%,0.37,58%,4 (0-55),250,130,63,0.5,1,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.561,1.851,0.71,4,11,0,44,0.1521,0.0453,0.7227645450995706,15%,0.25,72%,4 (0-44),200,99,50,0.5,1,0.95,0.53,0.6,0.5
