scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
isolation_manual_tracing_met_only,2.6151,1.6106,1.0045,22,36,1,117,0.2198,0.0739,0.615884669802302,22%,0.39,62%,22 (1-120),650,320,160,0.30000000000000004,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5242,1.6633,0.8609,27,42,1,131.049999999999,0.1832,0.0635,0.6589414467950241,18%,0.34,66%,27 (1-130),760,380,190,0.30000000000000004,4,0.95,0.53,0.6,0.5
cell_phone,2.5728,1.3193,1.2535,4,14,0,56,0.2782,0.0966,0.5127876243781094,28%,0.49,51%,4 (0-56),250,130,63,0.30000000000000004,4,0.95,0.53,0.6,0.5
