scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
hh_work_only,2.5728,1.133,1.4398,7,13,0,46,0.327,0.1164,0.4403762437810945,33%,0.81,44%,7 (0-46),230,120,58,0,4,0.4,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.5254,1.1346,1.3908,10,16,1,49,0.308,0.1162,0.4492753623188406,31%,0.79,45%,10 (1-49),290,140,72,0,4,0.4,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5879,1.3796,1.2083,9,15,1,48,0.2718,0.0899,0.5330963329340392,27%,0.67,53%,9 (1-48),270,140,68,0,4,0.4,0.53,0.6,0.5
isolation_manual_tracing,2.5768,1.2321,1.3447,13,20,1,59,0.2959,0.1066,0.4781511952809686,30%,0.75,48%,13 (1-59),360,180,90,0,4,0.4,0.53,0.6,0.5
