scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.6816,0,2.6816,0,0,0,0,0.5257,0.2655,0,53%,2.7,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.6000000000000001
isolation_manual_tracing_met_only,2.7695,1.4848,1.2847,22,36,1,118,0.2741,0.1042,0.5361256544502617,27%,1.2,54%,22 (1-120),650,320,160,0,4,0.95,0.53,0.6,0.6000000000000001
isolation_manual_tracing_met_limit,2.7229,1.7057,1.0172,17,31,1,103,0.2255,0.0714,0.6264277057548937,23%,1,63%,17 (1-100),560,280,140,0,4,0.95,0.53,0.6,0.6000000000000001
isolation_manual_tracing,2.7267,1.5926,1.1341,28,43,1,135,0.238,0.0928,0.5840759892910845,24%,1.1,58%,28 (1-140),770,390,190,0,4,0.95,0.53,0.6,0.6000000000000001
cell_phone,2.7241,1.1649,1.5592,5,15,0,59,0.3399,0.1343,0.4276274732939319,34%,1.5,43%,5 (0-59),270,140,68,0,4,0.95,0.53,0.6,0.6000000000000001
cell_phone_met_limit,2.7384,1.4108,1.3276,5,12,0,46,0.295,0.1002,0.5151913526146655,30%,1.3,52%,5 (0-46),220,110,54,0,4,0.95,0.53,0.6,0.6000000000000001
