scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.0964,0,2.0964,0,0,0,0,0.4371,0.1924,0,44%,2.1,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.30000000000000004,0.5
isolation_manual_tracing_met_only,2.1358,0.7488,1.387,22,36,1,116,0.3086,0.1138,0.35059462496488436,31%,1.4,35%,22 (1-120),650,320,160,0,4,0.95,0.53,0.30000000000000004,0.5
isolation_manual_tracing_met_limit,2.1038,0.9592,1.1446,17,31,1,104,0.2654,0.0782,0.45593687612890954,27%,1.1,46%,17 (1-100),560,280,140,0,4,0.95,0.53,0.30000000000000004,0.5
isolation_manual_tracing,2.0849,0.7841,1.3008,28,43,1,134,0.2895,0.1037,0.3760851839416759,29%,1.3,38%,28 (1-130),770,390,190,0,4,0.95,0.53,0.30000000000000004,0.5
cell_phone,2.1042,0.5744,1.5298,5,14,0,57,0.3483,0.122,0.2729778538161771,35%,1.5,27%,5 (0-57),250,130,63,0,4,0.95,0.53,0.30000000000000004,0.5
cell_phone_met_limit,2.0519,0.7778,1.2741,4,12,0,47,0.2948,0.0931,0.3790633071787124,29%,1.3,38%,4 (0-47),220,110,54,0,4,0.95,0.53,0.30000000000000004,0.5
