scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,3.2424,0,3.2424,0,0,0,0,0.5925,0.3272,0,59%,3.2,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,1
isolation_manual_tracing_met_only,3.2591,1.4835,1.7756,22,36,1,114,0.3381,0.1627,0.4551870148200423,34%,1.8,46%,22 (1-110),650,320,160,0,4,0.95,0.53,0.6,1
isolation_manual_tracing_met_limit,3.2724,1.7696,1.5028,18,32,1,103,0.2975,0.1254,0.5407651876298741,30%,1.5,54%,18 (1-100),580,290,140,0,4,0.95,0.53,0.6,1
isolation_manual_tracing,3.1888,1.5754,1.6134,28,42,1,132,0.2965,0.1474,0.49404164576016063,30%,1.6,49%,28 (1-130),760,380,190,0,4,0.95,0.53,0.6,1
cell_phone,3.2193,1.1615,2.0578,5,14,0,57,0.4001,0.1935,0.36079271891404974,40%,2.1,36%,5 (0-57),250,130,63,0,4,0.95,0.53,0.6,1
cell_phone_met_limit,3.2584,1.4906,1.7678,4,12,0,46,0.3669,0.1518,0.4574637859071937,37%,1.8,46%,4 (0-46),220,110,54,0,4,0.95,0.53,0.6,1
