scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.8748,0,2.8748,0,0,0,0,0.5471,0.2823,0,55%,2.9,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.7000000000000001
isolation_manual_tracing_met_only,2.8493,1.4873,1.362,22,36,1,116,0.2813,0.1165,0.5219878566665497,28%,1.4,52%,22 (1-120),650,320,160,0,4,0.95,0.53,0.6,0.7000000000000001
isolation_manual_tracing_met_limit,2.8678,1.7118,1.156,17,32,1,108.049999999999,0.2477,0.0862,0.5969035497593975,25%,1.2,60%,17 (1-110),580,290,140,0,4,0.95,0.53,0.6,0.7000000000000001
isolation_manual_tracing,2.8858,1.616,1.2698,29,44,1,134,0.2646,0.1133,0.5599833668306882,26%,1.3,56%,29 (1-130),790,400,200,0,4,0.95,0.53,0.6,0.7000000000000001
cell_phone,2.8141,1.1187,1.6954,4,14,0,57,0.3636,0.1523,0.3975338474112504,36%,1.7,40%,4 (0-57),250,130,63,0,4,0.95,0.53,0.6,0.7000000000000001
cell_phone_met_limit,2.8593,1.4433,1.416,4,12,0,46,0.3146,0.1119,0.50477389570874,31%,1.4,50%,4 (0-46),220,110,54,0,4,0.95,0.53,0.6,0.7000000000000001
